name,bleu,ter,chrf,time,datetime,comment,task,subtask,position,cluster_bleu,cluster_ter,cluster_chrf
system5,58.25973275494003,33.750907122547794,75.74581466760768,102.44832359920956,2025-09-30 12:53:51.930247,,mt,demo,1,1,1,1
system4,57.87537754791287,34.017392959539364,75.44314534886027,104.42383359254096,2025-09-30 12:53:45.603047,,mt,demo,2,1,1,1
system8,57.24312751270792,34.92392067287674,74.97767854877173,97.6616408754722,2025-09-30 12:54:11.525712,,mt,demo,3,2,1,2
system1,56.91726491884415,34.61341708602496,74.77240223749415,107.50072647879372,2025-09-30 12:53:19.892407,,mt,demo,4,3,2,3
system7,56.85044167619133,34.84897153122286,75.06914194243525,105.86840058187173,2025-09-30 12:54:04.807096,,mt,demo,5,4,2,3
system10,55.79847814582824,35.73765421083313,74.28063995177844,97.67605625400547,2025-09-30 12:53:26.251472,,mt,demo,6,5,2,4
system9,55.35704004658639,35.23561392864366,73.94743478229182,101.43393104277364,2025-09-30 12:54:18.036574,,mt,demo,7,6,3,5
baseline1,54.412421978427645,35.89825951437715,73.34689593678509,102.02077727816813,2025-09-30 12:53:07.262658,Baseline,mt,demo,8,7,4,6
baseline2,53.73228420573004,36.658457951152194,72.80255438174282,100.21070212091348,2025-09-30 12:53:13.558359,Baseline,mt,demo,9,8,5,6
system6,49.93372739713926,38.82960372128437,72.38496336833013,103.12966887146766,2025-09-30 12:53:58.377971,,mt,demo,10,9,6,6
system2,49.65489802954296,40.024031312085846,71.43665197535428,90.29978124409622,2025-09-30 12:53:32.698786,,mt,demo,11,10,7,7
system3,44.05534506249832,45.56907812555765,67.09170478588287,81.37871452490434,2025-09-30 12:53:39.124456,,mt,demo,12,11,8,8
